Order_ID,Customer_ID,Product_ID,Order_Date,Shipping_Date,Quantity,Sales,Profit,Discount,Payment_Mode,Order_Status,Rating
100031,1233,501,2024-02-12,2024-02-17,1,309.97,105.97,5,Cash,Delivered,5.0
100032,1913,564,2024-06-09,2024-06-15,3,10775.31,-63.69,30,Card,Delivered,5.0
100033,1088,599,2024-04-11,2024-04-13,3,15570.63,3099.63,10,UPI,Delivered,4.0
100034,1675,522,2025-03-01,2025-03-08,1,2538.28,410.28,5,UPI,Delivered,5.0
100035,1444,541,2024-06-24,2024-06-25,3,16546.09,4306.09,10,Card,Delivered,5.0
100036,1354,529,2024-09-08,2024-09-10,5,2668.06,223.06,15,UPI,Delivered,4.0
100037,1919,519,2025-02-23,2025-02-27,5,11231.74,-2393.26,30,UPI,Delivered,4.0
100038,1964,527,2024-01-11,2024-01-17,5,19586.55,5326.55,0,Cash,Delivered,4.0
100039,1403,539,2024-06-17,2024-06-21,1,4538.64,636.64,15,Card,Delivered,5.0
100040,1410,574,2025-08-11,2025-08-12,5,8441.1,2526.1,10,Card,Delivered,5.0
100041,1164,546,2026-06-13,2026-06-16,3,6183.35,528.35,10,Card,Delivered,4.0
100042,1045,559,2024-05-30,2024-06-05,4,5974.31,406.31,15,Card,Delivered,5.0
100043,1907,553,2025-09-25,2025-10-01,4,8838.17,-1305.83,30,Card,Delivered,5.0
100044,1734,556,2026-03-05,2026-03-07,3,11982.21,3036.21,0,Card,Delivered,4.0
100045,1705,506,2026-01-27,2026-01-29,5,16462.24,1377.24,20,Card,Delivered,4.0
100046,1491,562,2025-06-17,2025-06-20,2,11939.72,2395.72,0,Card,Delivered,5.0
100047,1460,579,2024-09-04,2024-09-11,3,11955.72,948.72,30,Card,Delivered,5.0
100048,1029,517,2026-05-11,2026-05-14,3,11779.42,-214.58,30,Net Banking,Delivered,4.0
100049,1822,514,2024-05-07,2024-05-11,3,12130.2,955.2,20,Cash,Delivered,5.0
100050,1296,558,2026-04-04,2026-04-10,5,665.16,40.16,20,Card,Delivered,5.0
100051,1691,526,2026-05-14,2026-05-19,2,11386.67,1842.67,10,Net Banking,Delivered,5.0
100052,1772,563,2025-08-09,2025-08-15,2,1841.22,185.22,30,UPI,Delivered,5.0
100053,1302,505,2025-06-12,2025-06-17,2,9613.98,1237.98,10,UPI,Delivered,4.0
100054,1680,599,2025-02-25,2025-02-26,1,5766.9,1609.9,0,UPI,Delivered,4.0
100055,1264,507,2024-03-20,2024-03-23,5,8307.69,1772.69,15,UPI,Delivered,5.0
100056,1691,535,2024-09-27,2024-10-02,4,16064.58,1452.58,30,Cash,Delivered,5.0
100057,1913,510,2025-05-16,2025-05-22,4,6603.3,1199.3,5,Card,Delivered,4.0
100058,1245,536,2024-05-12,2024-05-18,5,6592.8,42.8,20,Card,Delivered,4.0
100059,1752,571,2026-02-03,2026-02-05,5,21421.76,5216.76,10,Net Banking,Delivered,4.0
100060,1673,501,2024-04-22,2024-04-23,3,783.07,171.07,20,UPI,Delivered,5.0
100061,1388,590,2024-11-08,2024-11-11,3,11751.13,3468.13,10,UPI,Delivered,5.0
100062,1776,532,2025-08-26,2025-08-30,1,4753.29,1107.29,10,Net Banking,Delivered,4.0
100063,1990,565,2025-05-15,2025-05-16,1,253.42,38.42,20,UPI,Delivered,5.0
100064,1651,543,2025-08-09,2025-08-12,5,10371.49,206.49,15,Card,Delivered,5.0
100065,1471,547,2026-01-07,2026-01-14,5,15951.07,5036.07,5,Card,Delivered,5.0
100066,1373,508,2025-04-05,2025-04-11,4,10834.6,2874.6,5,Net Banking,Delivered,4.0
100067,1780,533,2025-11-11,2025-11-16,4,19891.46,2607.46,15,Card,Delivered,4.0
100068,1146,528,2025-11-17,2025-11-21,3,9565.39,-1447.61,30,UPI,Delivered,4.0
100069,1204,532,2025-10-07,2025-10-14,3,12675.43,1737.43,20,UPI,Delivered,5.0
100070,1634,573,2025-09-25,2025-09-30,5,903.85,188.85,0,Net Banking,Returned,1.0
100071,1081,563,2025-05-29,2025-05-30,1,920.61,92.61,30,UPI,Delivered,4.0
100072,1356,551,2026-03-16,2026-03-18,2,6693.85,549.85,30,UPI,Delivered,5.0
100073,1861,532,2025-06-30,2025-07-05,3,13467.65,2529.65,15,Cash,Delivered,5.0
100074,1745,526,2024-12-14,2024-12-18,2,10754.08,1210.08,15,UPI,Delivered,5.0
100075,1311,585,2024-04-03,2024-04-04,1,2620.54,286.54,20,UPI,Delivered,4.0
100076,1819,593,2024-04-01,2024-04-03,3,5630.65,215.65,15,Cash,Delivered,4.0
100077,1833,576,2024-07-04,2024-07-05,1,5379.95,934.95,10,UPI,Delivered,4.0
100078,1379,567,2024-11-27,2024-11-30,4,22311.72,7779.72,0,Card,Delivered,4.0
100079,1468,537,2024-08-30,2024-09-03,5,10818.88,1983.88,20,UPI,Delivered,4.0
100080,1214,576,2025-04-20,2025-04-25,4,23910.88,6130.88,0,UPI,Delivered,5.0
100081,1444,517,2024-01-20,2024-01-23,5,22437.0,2447.0,20,Card,Delivered,4.0
100082,1514,592,2026-03-15,2026-03-17,3,2737.68,163.68,20,Card,Delivered,4.0
100083,1966,560,2024-07-27,2024-08-03,2,9333.49,1737.49,10,UPI,Delivered,4.0
100084,1351,553,2025-03-09,2025-03-14,4,12625.96,2481.96,0,Net Banking,Delivered,5.0
100085,1788,516,2024-10-23,2024-10-29,2,13839.8,4319.8,0,UPI,Delivered,5.0
100086,1440,516,2024-09-13,2024-09-20,4,24911.64,5871.64,10,Net Banking,Delivered,4.0
100087,1111,598,2024-10-15,2024-10-16,2,7857.92,-752.08,30,UPI,Delivered,4.0
100088,1456,519,2025-12-16,2025-12-17,2,4492.7,-957.3,30,UPI,Delivered,4.0
100089,1432,546,2025-09-17,2025-09-22,3,4809.27,-845.73,30,Cash,Returned,2.0
100090,1680,575,2025-12-25,2025-12-29,3,5850.02,1377.02,5,UPI,Delivered,4.0
100091,1636,562,2025-09-05,2025-09-08,1,4178.9,-593.1,30,Card,Delivered,5.0
100092,1051,517,2024-01-05,2024-01-06,2,9535.72,1539.72,15,Card,Delivered,5.0
100093,1111,524,2025-02-06,2025-02-11,1,3922.26,47.26,30,Net Banking,Delivered,5.0
100094,1834,539,2026-04-15,2026-04-21,4,14950.82,-657.18,30,UPI,Delivered,5.0
100095,1621,590,2025-09-07,2025-09-10,4,16538.63,5494.63,5,Cash,Delivered,5.0
100096,1791,562,2024-05-07,2024-05-11,3,17014.1,2698.1,5,UPI,Delivered,4.0
100097,1221,582,2024-10-14,2024-10-20,3,12591.64,1566.64,5,UPI,Delivered,5.0
100098,1239,518,2026-01-05,2026-01-07,2,9994.49,1690.49,15,UPI,Returned,1.0
100099,1602,578,2025-12-21,2025-12-27,5,17866.98,5781.98,5,Card,Delivered,5.0
100100,1068,523,2024-04-23,2024-04-30,3,7488.79,-302.21,20,UPI,Delivered,4.0
100101,1372,528,2026-01-26,2026-01-31,5,18219.8,-135.2,20,Card,Delivered,5.0
100102,1316,502,2024-05-10,2024-05-13,5,30098.09,8193.09,5,UPI,Delivered,5.0
100103,1361,563,2026-05-18,2026-05-24,1,920.61,92.61,30,Card,Delivered,5.0
100104,1920,504,2025-04-09,2025-04-10,4,6907.18,-52.82,30,Net Banking,Delivered,5.0
100105,1723,599,2024-11-26,2024-11-30,4,20760.84,4132.84,10,Card,Delivered,5.0
100106,1782,526,2025-06-13,2025-06-20,1,4428.15,-343.85,30,UPI,Delivered,4.0
100107,1267,550,2025-04-04,2025-04-07,1,679.2,132.2,15,Card,Delivered,4.0
100108,1399,557,2024-01-26,2024-02-01,2,1059.39,7.39,30,UPI,Delivered,4.0
100109,1237,579,2024-06-17,2024-06-20,3,17079.6,6072.6,0,Card,Delivered,4.0
100110,1050,588,2026-04-07,2026-04-08,5,11734.8,-2015.2,30,UPI,Delivered,5.0
100111,1840,556,2025-04-29,2025-05-01,3,11982.21,3036.21,0,UPI,Delivered,5.0
100112,1649,515,2024-03-15,2024-03-22,5,7919.84,699.84,20,UPI,Delivered,4.0
100113,1350,506,2024-05-07,2024-05-08,1,4115.56,1098.56,0,Card,Delivered,5.0
100114,1130,525,2026-03-12,2026-03-14,1,2250.43,-33.57,15,UPI,Delivered,5.0
100115,1485,582,2024-04-14,2024-04-20,1,3534.5,-140.5,20,UPI,Delivered,5.0
100116,1347,501,2025-09-24,2025-10-01,4,1239.86,423.86,5,Card,Delivered,5.0
100117,1977,541,2025-04-09,2025-04-13,4,20835.81,4515.81,15,UPI,Delivered,5.0
100118,1542,560,2025-11-22,2025-11-29,1,4407.48,609.48,15,UPI,Delivered,5.0
100119,1356,557,2024-01-13,2024-01-18,1,605.37,79.37,20,Card,Delivered,4.0
100120,1105,563,2025-10-14,2025-10-19,3,3550.93,1066.93,10,UPI,Delivered,5.0
100121,1859,546,2024-09-05,2024-09-07,1,2290.13,405.13,0,Card,Delivered,5.0
100122,1302,591,2025-10-29,2025-11-05,3,8453.84,1202.84,10,UPI,Delivered,5.0
100123,1414,504,2025-04-25,2025-04-28,5,11100.82,2400.82,10,Card,Delivered,5.0
100124,1835,544,2025-11-04,2025-11-10,2,5938.6,1614.6,0,Card,Delivered,5.0
100125,1984,528,2024-02-25,2024-02-29,3,12981.61,1968.61,5,Net Banking,Returned,1.0
100126,1545,564,2024-12-15,2024-12-17,4,14367.08,-84.92,30,Card,Delivered,5.0
100127,1793,527,2026-05-22,2026-05-27,5,17627.9,3367.9,10,UPI,Delivered,5.0
100128,1462,577,2025-04-10,2025-04-17,1,5491.43,1302.43,15,UPI,Delivered,4.0
100129,1647,560,2024-08-23,2024-08-27,5,24630.03,5640.03,5,Cash,Delivered,5.0
100130,1613,511,2024-12-05,2024-12-12,4,23658.04,7130.04,5,UPI,Delivered,5.0
100131,1043,541,2024-01-11,2024-01-12,3,18384.54,6144.54,0,UPI,Delivered,4.0
100132,1060,570,2025-10-08,2025-10-13,3,14305.14,2482.14,0,UPI,Returned,1.0
100133,1274,579,2024-06-27,2024-06-29,3,11955.72,948.72,30,UPI,Delivered,5.0
100134,1138,591,2024-07-19,2024-07-20,2,5635.89,801.89,10,Card,Delivered,4.0
100135,1639,597,2025-01-23,2025-01-29,1,3999.75,883.75,10,UPI,Delivered,4.0
100136,1053,522,2026-04-08,2026-04-11,2,4274.99,18.99,20,Net Banking,Returned,2.0
100137,1193,547,2024-03-07,2024-03-08,2,6380.43,2014.43,5,UPI,Delivered,4.0
100138,1300,539,2025-01-18,2025-01-21,5,22693.22,3183.22,15,Cash,Returned,1.0
100139,1864,579,2026-02-20,2026-02-25,5,27042.7,8697.7,5,UPI,Delivered,4.0
100140,1202,539,2024-09-10,2024-09-11,3,15217.8,3511.8,5,Net Banking,Delivered,5.0
100141,1839,589,2024-08-02,2024-08-08,1,6105.37,1138.37,15,UPI,Delivered,5.0
100142,1023,563,2025-02-01,2025-02-08,5,5918.22,1778.22,10,UPI,Delivered,5.0
100143,1106,511,2025-01-17,2025-01-22,4,17432.24,904.24,30,UPI,Returned,2.0
100144,1725,528,2025-02-14,2025-02-20,5,15942.32,-2412.68,30,UPI,Delivered,4.0
100145,1183,570,2026-06-02,2026-06-04,4,18119.84,2355.84,5,Card,Delivered,5.0
100146,1095,542,2026-05-12,2026-05-15,3,2314.22,454.22,20,UPI,Delivered,5.0
100147,1956,566,2025-06-15,2025-06-18,2,3487.76,-40.24,20,UPI,Delivered,5.0
100148,1372,581,2025-04-06,2025-04-10,4,8309.19,377.19,15,UPI,Delivered,5.0
100149,1915,522,2024-01-26,2024-01-28,4,10153.11,1641.11,5,Cash,Delivered,4.0
100150,1952,556,2024-10-28,2024-11-04,5,15976.28,1066.28,20,UPI,Delivered,4.0
100151,1185,558,2024-08-21,2024-08-22,1,166.29,41.29,0,UPI,Delivered,5.0
100152,1335,600,2025-11-22,2025-11-25,3,3147.04,903.04,10,Net Banking,Delivered,5.0
100153,1283,530,2024-07-14,2024-07-20,5,27395.91,3215.91,5,Net Banking,Cancelled,
100154,1677,599,2026-01-27,2026-02-01,3,17300.7,4829.7,0,UPI,Delivered,4.0
100155,1770,522,2025-02-17,2025-02-21,5,9351.54,-1288.46,30,Cash,Delivered,5.0
100156,1832,562,2024-06-01,2024-06-08,4,22685.47,3597.47,5,Card,Delivered,5.0
100157,1895,592,2025-06-12,2025-06-17,5,4847.97,557.97,15,Net Banking,Delivered,5.0
100158,1873,589,2024-11-16,2024-11-23,2,12210.74,2276.74,15,UPI,Delivered,5.0
100159,1443,570,2025-04-05,2025-04-12,5,23841.9,4136.9,0,UPI,Delivered,5.0
100160,1352,589,2026-01-25,2026-01-26,4,20111.81,243.81,30,UPI,Delivered,4.0
100161,1070,526,2025-12-03,2025-12-10,4,17712.6,-1375.4,30,UPI,Delivered,4.0
100162,1115,574,2026-03-15,2026-03-16,2,3564.02,1198.02,5,Card,Returned,2.0
100163,1994,561,2026-03-29,2026-04-03,5,11937.88,-102.12,20,UPI,Delivered,5.0
100164,1030,599,2025-02-04,2025-02-05,5,24509.32,3724.32,15,Card,Delivered,4.0
100165,1541,513,2025-04-07,2025-04-13,3,16813.38,5938.38,0,UPI,Delivered,5.0
100166,1387,587,2026-04-26,2026-05-02,5,13784.54,-175.46,15,Cash,Delivered,4.0
100167,1177,541,2025-01-30,2025-02-02,2,11643.54,3483.54,5,Card,Delivered,5.0
100168,1431,547,2025-01-12,2025-01-17,1,3190.21,1007.21,5,UPI,Delivered,5.0
100169,1397,540,2024-04-23,2024-04-25,5,12016.41,346.41,15,Cash,Delivered,4.0
100170,1849,581,2026-06-05,2026-06-07,2,4643.37,677.37,5,Card,Delivered,5.0
100171,1961,576,2024-06-11,2024-06-16,5,26899.74,4674.74,10,Card,Delivered,5.0
100172,1337,536,2024-10-09,2024-10-11,1,1565.79,255.79,5,Card,Delivered,5.0
100173,1146,596,2024-09-09,2024-09-14,3,12205.92,199.92,20,Card,Delivered,5.0
100174,1936,596,2026-01-24,2026-01-25,3,10680.18,-1325.82,30,Card,Delivered,5.0
100175,1309,595,2025-12-29,2026-01-05,3,3448.01,787.01,15,UPI,Delivered,5.0
100176,1162,530,2024-09-12,2024-09-14,5,20186.46,-3993.54,30,Card,Delivered,4.0
100177,1097,554,2025-12-16,2025-12-21,1,408.03,31.03,15,Net Banking,Delivered,4.0
100178,1056,575,2024-06-10,2024-06-13,5,9236.88,1781.88,10,Card,Delivered,4.0
100179,1801,553,2024-08-10,2024-08-14,4,10100.77,-43.23,20,Net Banking,Delivered,4.0
100180,1825,568,2025-05-31,2025-06-07,3,11069.78,491.78,15,Card,Delivered,4.0
100181,1300,590,2025-04-18,2025-04-19,1,3046.59,285.59,30,UPI,Delivered,5.0
100182,1364,507,2026-02-02,2026-02-06,2,3323.08,709.08,15,Card,Delivered,4.0
100183,1509,519,2024-05-19,2024-05-22,4,10910.84,10.84,15,Card,Delivered,4.0
100184,1198,530,2025-12-31,2026-01-04,2,9804.85,132.85,15,UPI,Delivered,5.0
100185,1020,590,2024-01-19,2024-01-24,1,4134.66,1373.66,5,UPI,Delivered,5.0
100186,1968,578,2024-03-20,2024-03-26,1,2633.03,216.03,30,UPI,Delivered,5.0
100187,1286,534,2026-01-01,2026-01-02,5,10900.3,2760.3,5,Card,Delivered,4.0
100188,1039,590,2025-06-19,2025-06-25,1,3699.43,938.43,15,Card,Delivered,5.0
100189,1879,549,2024-02-19,2024-02-26,4,15926.22,3634.22,5,UPI,Delivered,4.0
100190,1165,582,2024-04-03,2024-04-04,4,17672.48,2972.48,0,UPI,Cancelled,
100191,1957,502,2024-07-15,2024-07-21,1,6019.62,1638.62,5,Net Banking,Returned,1.0
100192,1828,504,2026-04-30,2026-05-06,2,3453.59,-26.41,30,UPI,Delivered,5.0
100193,1985,566,2024-11-30,2024-12-03,5,7629.48,-1190.52,30,Card,Delivered,4.0
100194,1570,506,2025-03-14,2025-03-15,2,7819.56,1785.56,5,UPI,Delivered,4.0
100195,1269,544,2025-10-31,2025-11-03,1,2523.91,361.91,15,Card,Delivered,4.0
100196,1025,507,2024-10-12,2024-10-18,5,8796.38,2261.38,10,UPI,Delivered,5.0
100197,1728,523,2026-02-24,2026-03-01,4,12481.32,2093.32,0,Cash,Delivered,5.0
100198,1026,527,2025-08-05,2025-08-07,3,11751.93,3195.93,0,Card,Delivered,5.0
100199,1555,593,2025-11-25,2025-12-02,2,3974.58,364.58,10,Card,Delivered,5.0
100200,1139,571,2026-05-21,2026-05-27,4,19041.56,6077.56,0,Card,Delivered,5.0
100201,1975,560,2025-01-26,2025-01-31,2,8296.43,700.43,20,UPI,Delivered,5.0
100202,1145,550,2025-09-23,2025-09-30,1,719.15,172.15,10,UPI,Delivered,5.0
100203,1456,569,2024-03-22,2024-03-23,2,10641.92,3053.92,10,UPI,Delivered,4.0
100204,1391,565,2025-10-19,2025-10-20,2,443.48,13.48,30,Card,Delivered,5.0
100205,1152,512,2024-12-02,2024-12-04,3,8442.79,1713.79,10,Card,Delivered,5.0
100206,1299,590,2025-02-28,2025-03-06,3,13056.81,4773.81,0,UPI,Delivered,5.0
100207,1500,536,2024-07-29,2024-08-03,1,1153.74,-156.26,30,Net Banking,Cancelled,
100208,1376,539,2025-12-13,2025-12-19,2,8543.33,739.33,20,UPI,Delivered,5.0
100209,1187,536,2025-10-06,2025-10-07,1,1400.97,90.97,15,Card,Delivered,4.0
100210,1012,562,2024-05-24,2024-05-26,2,11939.72,2395.72,0,Net Banking,Delivered,5.0
100211,1689,574,2024-07-28,2024-07-30,5,9379.0,3464.0,0,UPI,Delivered,5.0
100212,1501,503,2024-07-21,2024-07-23,4,29827.61,10079.61,5,Card,Delivered,4.0
100213,1027,519,2025-10-12,2025-10-14,3,8183.13,8.13,15,UPI,Delivered,5.0
100214,1224,542,2024-06-20,2024-06-24,4,3278.48,798.48,15,Net Banking,Delivered,5.0
100215,1702,556,2026-04-19,2026-04-26,4,15976.28,4048.28,0,UPI,Delivered,5.0
100216,1787,599,2024-11-03,2024-11-08,5,27392.78,6607.78,5,UPI,Delivered,4.0
100217,1792,523,2024-11-09,2024-11-13,3,7956.84,165.84,15,UPI,Delivered,5.0
100218,1471,563,2026-01-02,2026-01-06,2,2498.8,842.8,5,Net Banking,Delivered,4.0
100219,1761,525,2026-01-17,2026-01-23,3,6751.3,-100.7,15,UPI,Delivered,5.0
100220,1410,516,2026-01-30,2026-02-02,4,23527.66,4487.66,15,UPI,Delivered,5.0
100221,1363,575,2024-02-09,2024-02-10,4,6568.45,604.45,20,Cash,Delivered,5.0
100222,1361,514,2026-02-28,2026-03-07,3,12130.2,955.2,20,UPI,Delivered,5.0
100223,1068,542,2024-02-29,2024-03-06,4,3278.48,798.48,15,UPI,Delivered,4.0
100224,1310,536,2026-04-12,2026-04-15,1,1153.74,-156.26,30,Card,Delivered,4.0
100225,1220,532,2025-11-28,2025-11-30,3,15052.08,4114.08,5,Net Banking,Delivered,5.0
100226,1066,573,2024-01-13,2024-01-14,1,126.54,-16.46,30,Card,Delivered,4.0
100227,1597,530,2024-03-23,2024-03-28,2,9804.85,132.85,15,Card,Delivered,5.0
100228,1755,552,2025-05-27,2025-06-01,4,12114.94,-1013.06,20,Net Banking,Delivered,5.0
100229,1052,544,2026-01-15,2026-01-22,1,2969.3,807.3,0,UPI,Delivered,5.0
100230,1362,546,2024-05-26,2024-05-29,2,3206.18,-563.82,30,Cash,Delivered,4.0
100231,1544,503,2026-04-15,2026-04-19,1,7849.37,2912.37,0,Card,Delivered,5.0
100232,1524,533,2025-11-01,2025-11-04,4,22231.63,4947.63,5,UPI,Delivered,4.0
100233,1771,531,2025-05-13,2025-05-15,5,26797.0,6832.0,0,UPI,Delivered,5.0
100234,1775,597,2024-03-01,2024-03-07,2,8443.92,2211.92,5,UPI,Delivered,5.0
100235,1480,543,2025-10-03,2025-10-08,1,1708.24,-324.76,30,UPI,Delivered,4.0
100236,1416,549,2024-10-10,2024-10-11,3,12573.33,3354.33,0,Card,Delivered,5.0
100237,1359,537,2024-04-13,2024-04-14,1,2434.25,667.25,10,Card,Delivered,4.0
100238,1699,512,2024-02-12,2024-02-13,2,5003.14,517.14,20,Card,Delivered,4.0
100239,1550,522,2026-02-18,2026-02-21,4,9084.36,572.36,15,UPI,Delivered,5.0
100240,1790,564,2025-11-29,2025-12-02,3,14623.64,3784.64,5,UPI,Returned,2.0
100241,1837,511,2024-02-28,2024-03-02,3,18677.4,6281.4,0,UPI,Delivered,5.0
100242,1548,574,2026-05-05,2026-05-07,1,1500.64,317.64,20,Cash,Delivered,5.0
100243,1503,564,2026-02-08,2026-02-15,2,9235.98,2009.98,10,Net Banking,Delivered,5.0
100244,1136,535,2025-06-11,2025-06-15,2,11474.7,4168.7,0,Cash,Cancelled,
100245,1247,516,2026-04-12,2026-04-15,1,4843.93,83.93,30,Net Banking,Delivered,4.0
100246,1944,568,2024-11-29,2024-12-05,4,16496.14,2392.14,5,Card,Delivered,5.0
100247,1733,543,2024-03-24,2024-03-27,4,8297.19,165.19,15,Net Banking,Cancelled,
100248,1386,548,2024-04-12,2024-04-18,4,13524.91,2756.91,10,Net Banking,Delivered,5.0
100249,1236,575,2026-06-16,2026-06-21,5,10263.2,2808.2,0,UPI,Delivered,5.0
100250,1353,528,2025-11-20,2025-11-25,4,17308.81,2624.81,5,Card,Delivered,5.0
100251,1133,600,2025-07-07,2025-07-09,2,2214.58,718.58,5,Card,Delivered,5.0
100252,1974,567,2024-04-18,2024-04-22,1,5299.03,1666.03,5,UPI,Delivered,4.0
100253,1749,504,2024-10-14,2024-10-16,3,5180.38,-39.62,30,UPI,Delivered,5.0
100254,1044,526,2024-05-19,2024-05-24,4,25303.72,6215.72,0,UPI,Delivered,4.0
100255,1008,508,2025-08-12,2025-08-19,5,14256.05,4306.05,0,Card,Delivered,4.0
100256,1473,593,2026-01-23,2026-01-29,4,6182.68,-1037.32,30,Net Banking,Delivered,5.0
100257,1919,544,2026-04-07,2026-04-09,2,5344.74,1020.74,10,UPI,Delivered,4.0
100258,1025,564,2026-01-28,2026-02-02,2,7183.54,-42.46,30,UPI,Returned,2.0
100259,1124,563,2024-11-16,2024-11-20,5,4603.06,463.06,30,Card,Delivered,4.0
100260,1372,569,2026-05-17,2026-05-21,4,21283.85,6107.85,10,Cash,Delivered,5.0
100261,1350,566,2024-05-09,2024-05-14,5,8719.4,-100.6,20,Card,Delivered,4.0
100262,1383,511,2025-04-16,2025-04-19,2,11206.44,2942.44,10,Card,Delivered,5.0
100263,1212,517,2025-09-07,2025-09-10,2,7852.95,-143.05,30,Card,Delivered,5.0
100264,1172,513,2025-09-05,2025-09-08,3,13450.7,2575.7,20,UPI,Cancelled,
100265,1301,597,2026-05-18,2026-05-24,5,18887.72,3307.72,15,UPI,Delivered,4.0
100266,1169,580,2025-01-20,2025-01-21,3,20336.29,6380.29,5,Card,Delivered,4.0
100267,1644,558,2026-04-09,2026-04-11,1,157.98,32.98,5,UPI,Delivered,5.0
100268,1435,595,2026-04-14,2026-04-20,2,2704.32,930.32,0,Card,Delivered,4.0
100269,1712,525,2024-12-22,2024-12-29,4,9001.74,-134.26,15,UPI,Delivered,5.0
100270,1467,509,2024-07-18,2024-07-24,5,3842.85,552.85,15,Net Banking,Delivered,4.0
100271,1564,541,2026-06-05,2026-06-12,1,4289.73,209.73,30,Card,Delivered,5.0
100272,1587,524,2025-03-28,2025-04-03,4,20171.63,4671.63,10,Net Banking,Delivered,4.0
100273,1198,580,2024-07-19,2024-07-25,1,6421.99,1769.99,10,Card,Delivered,5.0
100274,1553,583,2026-05-29,2026-05-31,4,18782.65,2486.65,15,UPI,Delivered,4.0
100275,1106,561,2024-12-30,2025-01-03,2,5968.94,1152.94,0,UPI,Delivered,5.0
100276,1117,553,2025-03-20,2025-03-22,4,11994.66,1850.66,5,Card,Delivered,4.0
100277,1215,583,2025-12-05,2025-12-10,2,7734.03,-413.97,30,Cash,Delivered,5.0
100278,1525,530,2025-11-17,2025-11-23,1,4902.43,66.43,15,UPI,Delivered,5.0
100279,1979,565,2025-10-30,2025-11-03,3,950.31,305.31,0,Card,Delivered,4.0
100280,1659,544,2025-11-15,2025-11-20,2,5938.6,1614.6,0,Card,Delivered,5.0
100281,1628,509,2025-12-11,2025-12-17,1,723.36,65.36,20,Card,Delivered,5.0
100282,1713,582,2025-03-20,2025-03-23,5,20986.07,2611.07,5,Cash,Delivered,4.0
100283,1081,556,2026-03-25,2026-03-30,2,6789.92,825.92,15,Card,Delivered,4.0
100284,1777,594,2025-07-03,2025-07-10,5,26455.19,5850.19,15,Card,Delivered,5.0
100285,1532,546,2026-04-18,2026-04-25,1,2175.62,290.62,5,UPI,Returned,1.0
100286,1273,569,2025-09-05,2025-09-11,2,11824.36,4236.36,0,UPI,Delivered,5.0
